windowSizeObjectUse,thresholdMinDistanceRFID,thresholdMaxDistanceRFID,windowSizeHAR,cohenKappa
8000,25,225,7500,0.17048735377481541
8000,25,250,7500,0.17048735377481541
9000,30,200,6000,0.17041308188921034
9000,30,225,6000,0.17041308188921034
9000,30,250,6000,0.17041308188921034
9000,30,200,6500,0.1702890782329244
9000,30,225,6500,0.1702890782329244
9000,30,250,6500,0.1702890782329244
8000,25,175,8000,0.17018836853082348
8000,25,200,8000,0.17018836853082348
8000,25,225,8000,0.17018836853082348
8000,25,250,8000,0.17018836853082348
7000,20,150,7000,0.17007518203894895
7000,20,175,7000,0.17007518203894895
7000,20,200,7000,0.17007518203894895
7000,20,225,7000,0.17007518203894895
7000,20,250,7000,0.17007518203894895
7000,20,150,6500,0.17004348332638053
7000,20,175,6500,0.17004348332638053
7000,20,200,6500,0.17004348332638053
7000,20,225,6500,0.17004348332638053
7000,20,250,6500,0.17004348332638053
9000,30,200,7000,0.16998791709016148
9000,30,225,7000,0.16998791709016148
9000,30,250,7000,0.16998791709016148
8000,20,175,9000,0.169982341491173
8000,20,200,9000,0.169982341491173
8000,20,225,9000,0.169982341491173
8000,20,250,9000,0.169982341491173
9000,25,175,8500,0.16987966303282295
7000,20,150,7500,0.16962821470253797
7000,20,175,7500,0.16962821470253797
7000,20,200,7500,0.16962821470253797
7000,20,225,7500,0.16962821470253797
7000,20,250,7500,0.16962821470253797
9000,30,200,7500,0.16953687786509494
9000,30,225,7500,0.16953687786509494
9000,30,250,7500,0.16953687786509494
7000,20,150,6000,0.16950038547601584
7000,20,175,6000,0.16950038547601584
7000,20,200,6000,0.16950038547601584
7000,20,225,6000,0.16950038547601584
7000,20,250,6000,0.16950038547601584
7000,20,150,8000,0.1693307030505779
7000,20,175,8000,0.1693307030505779
7000,20,200,8000,0.1693307030505779
7000,20,225,8000,0.1693307030505779
7000,20,250,8000,0.1693307030505779
9000,30,200,8000,0.16923665235547936
9000,30,225,8000,0.16923665235547936
9000,30,250,8000,0.16923665235547936
8000,25,175,8500,0.1692362136632742
8000,25,200,8500,0.1692362136632742
8000,25,225,8500,0.1692362136632742
8000,25,250,8500,0.1692362136632742
9000,25,200,9000,0.168761147046495
9000,25,225,9000,0.168761147046495
9000,25,250,9000,0.168761147046495
7000,20,150,8500,0.1683754534280661
7000,20,175,8500,0.1683754534280661
7000,20,200,8500,0.1683754534280661
7000,20,225,8500,0.1683754534280661
7000,20,250,8500,0.1683754534280661
9000,30,200,8500,0.16828277863344204
9000,30,225,8500,0.16828277863344204
9000,30,250,8500,0.16828277863344204
8500,30,175,6500,0.16808498274078632
8500,30,200,6500,0.16808498274078632
8500,30,225,6500,0.16808498274078632
8500,30,250,6500,0.16808498274078632
7500,25,150,7000,0.16802484736776155
7500,25,175,7000,0.16802484736776155
7500,25,200,7000,0.16802484736776155
7500,25,225,7000,0.16802484736776155
7500,25,250,7000,0.16802484736776155
7500,25,150,6500,0.16799322923444465
7500,25,175,6500,0.16799322923444465
7500,25,200,6500,0.16799322923444465
7500,25,225,6500,0.16799322923444465
7500,25,250,6500,0.16799322923444465
8500,30,175,6000,0.16787495058513094
8500,30,200,6000,0.16787495058513094
8500,30,225,6000,0.16787495058513094
8500,30,250,6000,0.16787495058513094
8500,25,175,9000,0.16784711568277833
8500,25,200,9000,0.16784711568277833
8500,25,225,9000,0.16784711568277833
8500,25,250,9000,0.16784711568277833
9000,30,175,6000,0.1678117998506348
6500,20,150,7000,0.1678048768539404
6500,20,175,7000,0.1678048768539404
6500,20,200,7000,0.1678048768539404
6500,20,225,7000,0.1678048768539404
6500,20,250,7000,0.1678048768539404
8500,30,175,7000,0.16778465162364373
8500,30,200,7000,0.16778465162364373
8500,30,225,7000,0.16778465162364373
8500,30,250,7000,0.16778465162364373
9000,30,175,6500,0.16769268653041122
7500,25,150,7500,0.1675769856091488
7500,25,175,7500,0.1675769856091488
7500,25,200,7500,0.1675769856091488
7500,25,225,7500,0.1675769856091488
7500,25,250,7500,0.1675769856091488
8500,30,175,7500,0.1674846971780371
8500,30,200,7500,0.1674846971780371
8500,30,225,7500,0.1674846971780371
8500,30,250,7500,0.1674846971780371
7500,25,150,6000,0.16744947658006362
7500,25,175,6000,0.16744947658006362
7500,25,200,6000,0.16744947658006362
7500,25,225,6000,0.16744947658006362
7500,25,250,6000,0.16744947658006362
7500,20,150,9000,0.16744260016055787
7500,20,175,9000,0.16744260016055787
7500,20,200,9000,0.16744260016055787
7500,20,225,9000,0.16744260016055787
7500,20,250,9000,0.16744260016055787
6500,20,150,6500,0.1674402970871508
6500,20,175,6500,0.1674402970871508
6500,20,200,6500,0.1674402970871508
6500,20,225,6500,0.1674402970871508
6500,20,250,6500,0.1674402970871508
9000,30,175,7000,0.16739375228379458
6500,20,150,7500,0.16735802012610768
6500,20,175,7500,0.16735802012610768
6500,20,200,7500,0.16735802012610768
6500,20,225,7500,0.16735802012610768
6500,20,250,7500,0.16735802012610768
7500,25,150,8000,0.1672788794592589
7500,25,175,8000,0.1672788794592589
7500,25,200,8000,0.1672788794592589
7500,25,225,8000,0.1672788794592589
7500,25,250,8000,0.1672788794592589
6500,20,150,8000,0.16706058433868842
6500,20,175,8000,0.16706058433868842
6500,20,200,8000,0.16706058433868842
6500,20,225,8000,0.16706058433868842
6500,20,250,8000,0.16706058433868842
8500,30,175,8000,0.1670354702200965
8500,30,200,8000,0.1670354702200965
8500,30,225,8000,0.1670354702200965
8500,30,250,8000,0.1670354702200965
9000,30,175,7500,0.1669460524649278
6500,20,150,6000,0.16689282809220524
6500,20,175,6000,0.16689282809220524
6500,20,200,6000,0.16689282809220524
6500,20,225,6000,0.16689282809220524
6500,20,250,6000,0.16689282809220524
9000,30,175,8000,0.16664805259591828
7500,25,150,8500,0.1663220115062217
7500,25,175,8500,0.1663220115062217
7500,25,200,8500,0.1663220115062217
7500,25,225,8500,0.1663220115062217
7500,25,250,8500,0.1663220115062217
9000,25,175,9000,0.16619457444370683
6500,20,150,8500,0.16610270179132045
6500,20,175,8500,0.16610270179132045
6500,20,200,8500,0.16610270179132045
6500,20,225,8500,0.16610270179132045
6500,20,250,8500,0.16610270179132045
8500,30,175,8500,0.16607805114118526
8500,30,200,8500,0.16607805114118526
8500,30,225,8500,0.16607805114118526
8500,30,250,8500,0.16607805114118526
9000,30,175,8500,0.16569332748089902
8000,25,175,9000,0.16552921893957695
8000,25,200,9000,0.16552921893957695
8000,25,225,9000,0.16552921893957695
8000,25,250,9000,0.16552921893957695
8000,30,175,7000,0.16534476569073034
8000,30,200,7000,0.16534476569073034
8000,30,225,7000,0.16534476569073034
8000,30,250,7000,0.16534476569073034
8000,30,175,6500,0.16531121264168958
8000,30,200,6500,0.16531121264168958
8000,30,225,6500,0.16531121264168958
8000,30,250,6500,0.16531121264168958
8000,30,175,7500,0.16489673347172643
8000,30,200,7500,0.16489673347172643
8000,30,225,7500,0.16489673347172643
8000,30,250,7500,0.16489673347172643
9000,35,200,6500,0.16487445020950592
9000,35,225,6500,0.16487445020950592
9000,35,250,6500,0.16487445020950592
7000,25,150,7000,0.16478320758799733
7000,25,175,7000,0.16478320758799733
7000,25,200,7000,0.16478320758799733
7000,25,225,7000,0.16478320758799733
7000,25,250,7000,0.16478320758799733
8000,30,175,6000,0.16476147165715677
8000,30,200,6000,0.16476147165715677
8000,30,225,6000,0.16476147165715677
8000,30,250,6000,0.16476147165715677
7000,25,150,7500,0.16466984996158426
7000,25,175,7500,0.16466984996158426
7000,25,200,7500,0.16466984996158426
7000,25,225,7500,0.16466984996158426
7000,25,250,7500,0.16466984996158426
7000,20,150,9000,0.16464786440830112
7000,20,175,9000,0.16464786440830112
7000,20,200,9000,0.16464786440830112
7000,20,225,9000,0.16464786440830112
7000,20,250,9000,0.16464786440830112
8000,30,175,8000,0.16459851716538487
